zip,irs_returns,irs_pop,irs_income,statefips,state,irs_mean_hh_income,irs_ui_pct,irs_pct_with_Kinc,irs_avg_K_income,irs_K_inc_reliance,irs_pct_with_LLCinc,irs_LLC_inc_reliance,irs_avg_mort,irs_mort_inc_ratio,irs_SSI_reliance,irs_EITC_pct,irs_avg_AGI,irs_mean_ind_income
01524,3340,6100,206459,25,"MA",61814.07,.0838323,.1347305,862.8743,.0139592,.0359281,.0188754,2437.126,.0394267,.0274921,.0988024,61154.19,33845.74
01527,6820,12080,437862,25,"MA",64202.64,.0806452,.1539589,1214.956,.0189238,.0337243,.0134083,2493.988,.0388456,.0282235,.0953079,63539,36246.86
01529,1580,3080,101716,25,"MA",64377.21,.0886076,.1265823,329.1139,.0051123,.0316456,.011483,2985.443,.0463742,.0169197,.1012658,63867.09,33024.68
01531,490,950,32399,25,"MA",66120.41,.1020408,.1836735,963.2653,.0145684,0,0,2657.143,.0401864,.0270379,.0816327,65283.67,34104.21
01532,7800,15360,838514,25,"MA",107501.8,.0512821,.3179487,3877.949,.0360733,.0717949,.0513933,3723.718,.0346387,.0199925,.0705128,105793.7,54590.75
01534,2930,5760,229163,25,"MA",78212.63,.0784983,.2081911,1908.874,.0244062,.0341297,.014313,3383.618,.0432618,.0197021,.0955631,77361.43,39785.24
01535,2320,4220,128540,25,"MA",55405.17,.0862069,.112069,607.3276,.0109616,.0301724,.0072818,1863.362,.0336316,.0294227,.1336207,54787.93,30459.71
01536,3580,6850,350270,25,"MA",97840.78,.0698324,.2458101,2053.073,.0209838,.0502793,.0202444,3808.938,.03893,.0186171,.0642458,96670.39,51134.3
01537,1210,2040,66276,25,"MA",54773.55,.0991736,.1239669,254.5455,.0046472,.0247934,.011256,1970.248,.0359708,.0282153,.0909091,54227.27,32488.23
01540,5650,10410,336545,25,"MA",59565.49,.0778761,.1079646,448.6726,.0075324,.0283186,.0191297,2509.204,.0421251,.0227488,.1168142,58932.92,32329.01
01541,1740,3350,187017,25,"MA",107481,.0574713,.3390805,5247.126,.0488191,.091954,.052808,3814.943,.0354941,.0255806,.0517241,105449.4,55825.97
01542,1120,2000,66737,25,"MA",59586.61,.0892857,.1517857,683.9286,.0114779,0,0,2092.857,.0351229,.0374904,.1071429,58958.04,33368.5
01543,3960,8090,319226,25,"MA",80612.63,.0732323,.1565657,1148.485,.014247,.0378788,.015052,3542.172,.0439407,.0186169,.0732323,79789.9,39459.33
